layer,control,n,logit_rel_percent_median,abs_target_logit_delta_median,kl_median,top1_change_rate
0,random_0,32,0.4541205707937479,0.015625,9.277137723984197e-05,0.15625
0,random_1,32,0.4541205707937479,0.015625,9.277137723984197e-05,0.15625
0,random_2,32,0.4541205707937479,0.015625,9.277137723984197e-05,0.15625
0,real,32,0.8001989684998989,0.0234375,0.00017866780399344862,0.03125
0,unrelated,32,0.6299908272922039,0.03125,0.00039641864714212716,0.15625
1,random_0,32,0.2570246113464236,0.015625,4.234160587657243e-05,0.0
1,random_1,32,0.2570246113464236,0.015625,4.234160587657243e-05,0.0
1,random_2,32,0.2570246113464236,0.015625,4.234160587657243e-05,0.0
1,real,32,0.2285026479512453,0.015625,3.22586165566463e-05,0.03125
1,unrelated,32,0.25256117805838585,0.0078125,3.011055559909437e-05,0.0
2,random_0,32,0.36326837725937366,0.015625,8.064266148721799e-05,0.0
2,random_1,32,0.36326837725937366,0.015625,8.064266148721799e-05,0.0
2,random_2,32,0.36326837725937366,0.015625,8.064266148721799e-05,0.0
2,real,32,0.33926013857126236,0.015625,7.219765393529087e-05,0.03125
2,unrelated,32,0.36666884552687407,0.015625,0.00010279340494889766,0.0
3,random_0,32,0.20199783612042665,0.0078125,2.828890319506172e-05,0.0
3,random_1,32,0.20199783612042665,0.0078125,2.828890319506172e-05,0.0
3,random_2,32,0.20199783612042665,0.0078125,2.828890319506172e-05,0.0
3,real,32,0.20392131991684437,0.0078125,2.858096922864206e-05,0.0
3,unrelated,32,0.21873374935239553,0.0,3.119859320577234e-05,0.0
4,random_0,32,0.3423617221415043,0.015625,4.794555570697412e-05,0.0
4,random_1,32,0.3423617221415043,0.015625,4.794555570697412e-05,0.0
4,random_2,32,0.3423617221415043,0.015625,4.794555570697412e-05,0.0
4,real,32,0.31663281843066216,0.015625,4.456956958165392e-05,0.03125
4,unrelated,32,0.3545638872310519,0.015625,4.4569354940904304e-05,0.03125
5,random_0,32,1.7402701079845428,0.03125,0.0011679630260914564,0.03125
5,random_1,32,1.7402701079845428,0.03125,0.0011679630260914564,0.03125
5,random_2,32,1.7402701079845428,0.03125,0.0011679630260914564,0.03125
5,real,32,1.1194915510714054,0.03125,0.0005547117907553911,0.03125
5,unrelated,32,2.623573876917362,0.0625,0.0021669629495590925,0.1875
6,random_0,32,0.20497669465839863,0.0,2.8959218980162404e-05,0.03125
6,random_1,32,0.20497669465839863,0.0,2.8959218980162404e-05,0.03125
6,random_2,32,0.20497669465839863,0.0,2.8959218980162404e-05,0.03125
6,real,32,0.2155807102099061,0.0078125,3.4119289921363816e-05,0.03125
6,unrelated,32,0.20130763296037912,0.0078125,2.9673985409317538e-05,0.0
7,random_0,32,0.17304560169577599,0.0,2.1832196580362506e-05,0.0
